,GDP,GDP_scaled
2021-12-11,25055.563944182068,92.70209518100548
2021-12-12,25061.32235149044,92.71079626522555
2021-12-13,25067.078721991566,92.71949427178365
2021-12-14,25072.833055685565,92.72818920067988
2021-12-15,25078.585352572438,92.73688105191431
2021-12-16,25084.33561265224,92.745569825487
2021-12-17,25090.083835924743,92.7542555213976
2021-12-18,25095.83002239006,92.76293813964628
2021-12-19,25101.574172048364,92.7716176802333
2021-12-20,25107.31628489954,92.78029414315851
2021-12-21,25113.056360943418,92.78896752842164
2021-12-22,25118.794400180166,92.79763783602291
2021-12-23,25124.530402609846,92.80630506596248
2021-12-24,25130.26436823234,92.8149692182401
2021-12-25,25135.996297047648,92.82363029285582
2021-12-26,25141.72618905577,92.83228828980964
2021-12-27,25147.454044256825,92.8409432091017
2021-12-28,25153.179862650693,92.84959505073185
2021-12-29,25158.903644237376,92.85824381470009
2021-12-30,25164.625389016874,92.86688950100641
2021-12-31,25170.345096989302,92.875532109651
2022-01-01,25250.347,92.99641680199483
2022-01-02,25181.77840251266,92.89280809395451
2022-01-03,25187.492000063532,92.90144146961336
2022-01-04,25193.203560807393,92.91007176761055
2022-01-05,25198.91308474407,92.91869898794582
2022-01-06,25204.62057187344,92.92732313061902
2022-01-07,25210.326022195746,92.93594419563046
2022-01-08,25216.029435710923,92.94456218298008
2022-01-09,25221.730812418973,92.95317709266787
2022-01-10,25227.43015231978,92.96178892469366
2022-01-11,25233.127455413458,92.97039767905763
2022-01-12,25238.822721700068,92.97900335575986
2022-01-13,25244.515951179492,92.98760595480016
2022-01-14,25250.207143851672,92.99620547617849
2022-01-15,25255.896299716725,93.00480191989496
2022-01-16,25261.58341877465,93.01339528594963
2022-01-17,25267.268501025508,93.02198557434254
2022-01-18,25272.951546469063,93.03057278507336
2022-01-19,25278.63255510549,93.03915691814237
2022-01-20,25284.311526934907,93.04773797354972
2022-01-21,25289.988461957022,93.05631595129498
2022-01-22,25295.66336017201,93.06489085137841
2022-01-23,25301.33622157987,93.07346267380001
2022-01-24,25307.007046180603,93.08203141855981
2022-01-25,25312.67583397409,93.09059708565758
2022-01-26,25318.342584960454,93.09915967509353
2022-01-27,25324.007299139746,93.10771918686774
2022-01-28,25329.669976511854,93.11627562098005
2022-01-29,25335.330617076717,93.12482897743034
2022-01-30,25340.989220834454,93.1333792562188
2022-01-31,25346.645787785063,93.14192645734545
2022-02-01,25352.300317928602,93.15047058081035
2022-02-02,25357.95281126484,93.15901162661316
2022-02-03,25363.60326779395,93.16754959475415
2022-02-04,25369.251687515993,93.1760844852334
2022-02-05,25374.89807043085,93.18461629805074
2022-02-06,25380.54241653852,93.19314503320615
2022-02-07,25386.184725839004,93.20167069069967
2022-02-08,25391.82499833242,93.21019327053143
2022-02-09,25397.46323401865,93.21871277270128
2022-02-10,25403.099432897696,93.22722919720923
2022-02-11,25408.733594969555,93.23574254405526
2022-02-12,25414.365720234346,93.24425281323954
2022-02-13,25419.99580869201,93.252760004762
2022-02-14,25425.623860342428,93.26126411862245
2022-02-15,25431.249875185662,93.26976515482099
2022-02-16,25436.873853221827,93.27826311335778
2022-02-17,25442.495794450864,93.28675799423277
2022-02-18,25448.115698872658,93.29524979744573
2022-02-19,25453.733566487324,93.3037385229969
2022-02-20,25459.349397294864,93.3122241708862
2022-02-21,25464.963191295275,93.3207067411137
2022-02-22,25470.574948488444,93.3291862336792
2022-02-23,25476.184668874484,93.33766264858286
2022-02-24,25481.792352453398,93.3461359858247
2022-02-25,25487.397999225184,93.35460624540471
2022-02-26,25493.001609189785,93.3630734273228
2022-02-27,25498.603182347142,93.3715375315789
2022-02-28,25504.20271869749,93.37999855817334
2022-03-01,25509.80021824065,93.38845650710587
2022-03-02,25515.395680976624,93.39691137837649
2022-03-03,25520.989106905356,93.4053631719851
2022-03-04,25526.580496027076,93.41381188793207
2022-03-05,25532.16984834167,93.42225752621721
2022-03-06,25537.75716384896,93.43070008684025
2022-03-07,25543.342442549125,93.43913956980145
2022-03-08,25548.925684442336,93.44757597510112
2022-03-09,25554.506889528187,93.45600930273861
2022-03-10,25560.086057806853,93.46443955271417
2022-03-11,25565.663189278508,93.47286672502807
2022-03-12,25571.238283942977,93.48129081968007
2022-03-13,25576.811341800203,93.48971183667007
2022-03-14,25582.3823628503,93.49812977599824
2022-03-15,25587.95134709333,93.50654463766466
2022-03-16,25593.518294529174,93.51495642166918
2022-03-17,25599.083205157775,93.5233651280117
2022-03-18,25604.646078979247,93.53177075669238
2022-03-19,25610.20691599365,93.54017330771134
2022-03-20,25615.765716200927,93.54857278106846
2022-03-21,25621.3224796009,93.55696917676349
2022-03-22,25626.87720619375,93.56536249479669
2022-03-23,25632.429895979527,93.57375273516816
2022-03-24,25637.980548958178,93.5821398978778
2022-03-25,25643.529165129527,93.59052398292535
2022-03-26,25649.075744493748,93.59890499031107
2022-03-27,25654.62028705096,93.60728292003515
2022-03-28,25660.162792800926,93.61565777209721
2022-03-29,25665.703261743707,93.62402954649737
2022-03-30,25671.241693879303,93.6323982432356
2022-03-31,25676.778089207888,93.6407638623122
2022-04-01,25861.292,93.91956857194864
2022-04-02,25687.844769443385,93.65748586747947
2022-04-03,25693.375054350414,93.6658422535703
2022-04-04,25698.903302450315,93.67419556199933
2022-04-05,25704.42951374309,93.68254579276652
2022-04-06,25709.95368822862,93.69089294587171
2022-04-07,25715.475825907022,93.69923702131507
2022-04-08,25720.995926778298,93.70757801909662
2022-04-09,25726.513990842446,93.71591593921633
2022-04-10,25732.03001809941,93.72425078167413
2022-04-11,25737.54400854913,93.73258254646991
2022-04-12,25743.055962191836,93.74091123360407
2022-04-13,25748.56587902736,93.74923684307629
2022-04-14,25754.07375905564,93.75755937488651
2022-04-15,25759.57960227679,93.76587882903492
2022-04-16,25765.083408690873,93.77419520552158
