date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
2021-01-09,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1517535.0,1389,0.0,0,0.0
2021-01-10,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1602908.0,1647,0.0,0,0.0
2021-01-11,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,8987322,0,0,0.0,2.71,0,0.0,0.0,0,1688281.0,1904,0.0,0,0.0
2021-01-12,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,19606050,59777475,15746663,14.4,177.07,1566885,116.97,582.01,339816,1697796.0,1932,22.4,0,0.0
2021-01-13,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,21265377,62384200,16759012,18.66,188.85,2020890,121.840004,580.67,1979702,1766510.0,188623,21.984,0,0.0
2021-01-14,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,23475490,65817800,20576834,0.0,209.63,0,180.98,622.96,1870554,1791766.0,176995,23.819,0,0.0
2021-01-15,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,25943323,62322150,21191732,32.42,235.2,3221048,201.61,659.55,2420875,1927116.0,193150,25.348,0,0.0
2021-01-16,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1894779.0,184676,0.0,0,0.0
2021-01-17,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1880569.0,179644,0.0,0,0.0
2021-01-18,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1875413.0,176309,0.0,0,0.0
